timestamp,network_slug,network_name,defillama_name,agents,tvl_usd,adi
2026-06-20T23:14:01.686938Z,celo-mainnet,Celo Mainnet,Celo,9502,19722064.25254532,481.79540834695723
2026-06-20T23:14:01.686938Z,bnb-mainnet,BNB Chain Mainnet,BSC,139553,5128398431.98269,27.211809271622336
2026-06-20T23:14:01.686938Z,base-mainnet,Base Mainnet,Base,55938,4214018699.2655873,13.274264779543762
2026-06-20T23:14:01.686938Z,avalanche-mainnet,Avalanche C-Chain,Avalanche,1770,474862703.9583145,3.7273931712172925
2026-06-20T23:14:01.686938Z,mantle-mainnet,Mantle Mainnet,Mantle,138,145367362.65131798,0.9493190045072941
2026-06-20T23:14:01.686938Z,ethereum-mainnet,Ethereum logoEthereum Mainnet,Ethereum,35245,38981084754.55224,0.9041564702963805
2026-06-20T23:15:04.770859Z,celo-mainnet,Celo Mainnet,Celo,9502,19722064.25254532,481.79540834695723
2026-06-20T23:15:04.770859Z,bnb-mainnet,BNB Chain Mainnet,BSC,139553,5128398431.98269,27.211809271622336
2026-06-20T23:15:04.770859Z,base-mainnet,Base Mainnet,Base,55938,4214018699.2655873,13.274264779543762
2026-06-20T23:15:04.770859Z,avalanche-mainnet,Avalanche C-Chain,Avalanche,1770,474862703.9583145,3.7273931712172925
2026-06-20T23:15:04.770859Z,mantle-mainnet,Mantle Mainnet,Mantle,138,145367362.65131798,0.9493190045072941
2026-06-20T23:15:04.770859Z,ethereum-mainnet,Ethereum Mainnet,Ethereum,35245,38981084754.55224,0.9041564702963805
